entry_idx,entry_time,entry_price,size_usd,qty,status,exit_idx,exit_time,exit_price,pnl,reason
131390,2025-04-01 07:50:00,0.011639938637551766,1000.0,85977.13008339782,closed,131402,2025-04-01 08:50:00,0.011927626822253576,23.983995540958176,timeout
131391,2025-04-01 07:55:00,0.011640955732751004,1023.9839955409582,88039.20518794241,closed,131403,2025-04-01 08:55:00,0.011939509764245581,25.604607727761405,timeout
131392,2025-04-01 08:00:00,0.011705032678579605,1049.5886032687197,89723.76502553596,closed,131404,2025-04-01 09:00:00,0.011972117472516,23.002022649746234,timeout
131393,2025-04-01 08:05:00,0.011756767035375629,1072.590625918466,91299.84898863347,closed,131405,2025-04-01 09:05:00,0.01196205849662339,17.919964846259365,timeout
131417,2025-04-01 10:05:00,0.011932201664743704,1090.5105907647253,91447.42899494551,closed,131429,2025-04-01 11:05:00,0.011728777213173211,-19.566377199656035,timeout
131422,2025-04-01 10:30:00,0.011918859147111313,1070.9442135650693,89912.19994669376,closed,131434,2025-04-01 11:30:00,0.011797939619723884,-11.76429970714495,timeout
131426,2025-04-01 10:50:00,0.011832419696090635,1059.1799138579242,89586.39210504307,closed,131438,2025-04-01 11:50:00,0.011683882004358973,-14.042501867671879,timeout
131430,2025-04-01 11:10:00,0.011754088052828907,1045.1374119902523,88963.00748980697,closed,131442,2025-04-01 12:10:00,0.011712954684083806,-4.68310451779348,timeout
131434,2025-04-01 11:30:00,0.011809707840812587,1040.4543074724588,88144.21445886638,closed,131446,2025-04-01 12:30:00,0.01163921861261889,-16.074314014897887,timeout
131438,2025-04-01 11:50:00,0.011700721252453099,1024.3799934575609,87598.76803981196,closed,131450,2025-04-01 12:50:00,0.011654947545262574,-4.954951203922309,timeout
131442,2025-04-01 12:10:00,0.011728541386373461,1019.4250422536386,87003.92952578634,closed,131454,2025-04-01 13:10:00,0.011701656377265786,-2.8630918178150178,timeout
131446,2025-04-01 12:30:00,0.011656708407249354,1016.5619504358236,87258.53651809644,closed,131458,2025-04-01 13:30:00,0.011708807371722228,3.602753683408761,timeout
131447,2025-04-01 12:35:00,0.01161595201211382,1020.1647041192324,87884.62302887943,closed,131459,2025-04-01 13:35:00,0.011699980014097562,6.547319087327474,timeout
131448,2025-04-01 12:40:00,0.011597769584494424,1026.71202320656,88570.74044224982,closed,131460,2025-04-01 13:40:00,0.011768312513427807,14.064349731327388,timeout
131449,2025-04-01 12:45:00,0.011606058255267823,1040.7763729378873,89706.63445422232,closed,131461,2025-04-01 13:45:00,0.011823182627076555,18.265503353568143,timeout
131450,2025-04-01 12:50:00,0.011674955282047749,1059.0418762914555,90780.20540814809,closed,131462,2025-04-01 13:50:00,0.011800130592203447,10.578707595274523,timeout
131451,2025-04-01 12:55:00,0.01166131648192411,1069.62058388673,91789.28892875052,closed,131463,2025-04-01 13:55:00,0.011809498165055853,12.749650771834004,timeout
131452,2025-04-01 13:00:00,0.011626195391311578,1082.370234658564,93171.23479887785,closed,131464,2025-04-01 14:00:00,0.011716857350522544,7.673299425452981,timeout
131453,2025-04-01 13:05:00,0.011632824486950627,1090.043534084017,93751.05651363352,closed,131465,2025-04-01 14:05:00,0.011647311356594055,0.26771768043675737,timeout
131454,2025-04-01 13:10:00,0.01171947871754021,1090.3112517644538,93109.41518056822,closed,131466,2025-04-01 14:10:00,0.011595469753368944,-12.29131327873735,timeout
131459,2025-04-01 13:35:00,0.011715165363092535,1078.0199384857165,92059.7727144079,closed,131471,2025-04-01 14:35:00,0.011694253803894885,-3.065533948856055,timeout
131465,2025-04-01 14:05:00,0.011666245764548031,1074.9544045368605,92207.44592012871,closed,131477,2025-04-01 15:05:00,0.011939138279668547,24.291168829771344,timeout
131466,2025-04-01 14:10:00,0.011613104524561142,1099.2455733666318,94713.55965592209,closed,131478,2025-04-01 15:10:00,0.012053882973787637,40.73990695358959,timeout
131467,2025-04-01 14:15:00,0.011588247151059427,1139.9854803202213,98452.84396927379,closed,131479,2025-04-01 15:15:00,0.012067198252401391,46.31847976948855,timeout
131468,2025-04-01 14:20:00,0.01163231769890355,1186.3039600897098,102056.43152870868,closed,131480,2025-04-01 15:20:00,0.012052881311723404,41.95781271153986,timeout
131469,2025-04-01 14:25:00,0.011606948293936648,1228.2617728012497,105857.25870906228,closed,131481,2025-04-01 15:25:00,0.011975344143235997,37.54337614241076,timeout
131470,2025-04-01 14:30:00,0.011672745687552357,1265.8051489436605,108531.69415619141,closed,131482,2025-04-01 15:30:00,0.01198051732399214,32.536139853569274,timeout
131471,2025-04-01 14:35:00,0.011711271604728658,1298.3412887972297,110921.93838506874,closed,131483,2025-04-01 15:35:00,0.012077180780481906,39.3045394073243,timeout
131491,2025-04-01 16:15:00,0.012049646343316317,1337.645828204554,111072.47597812455,closed,131503,2025-04-01 17:15:00,0.011902740672722994,-17.57373528892001,timeout
